task_id,source,result,n_smells,smells,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,perplexity,bleu,chrf,rouge_l,meteor,codebleu,ast_similarity,codebert_score,bertscore,n_output_tokens
HumanEval_0,humaneval,pass,0,,7.000,4.000,95.214,28.529,1.500,42.794,6.000,0.000,3.000,2.399,24.230,42.614,50.980,,32.081,58.716,80.978,92.499,165
HumanEval_1,humaneval,fail,1,magic_number,14.000,5.000,79.259,31.020,2.000,62.039,7.000,7.143,3.000,2.220,35.370,50.551,46.154,,22.265,69.231,86.082,94.363,107
HumanEval_2,humaneval,pass,0,,2.000,1.000,65.110,4.755,0.500,2.377,0.000,0.000,1.000,7.040,13.135,62.458,50.000,,33.948,55.556,76.575,87.923,91
HumanEval_3,humaneval,pass,0,,8.000,3.000,71.886,13.932,1.333,18.575,3.000,0.000,0.000,3.328,72.424,88.939,86.667,,83.673,100.000,98.930,99.177,54
HumanEval_4,humaneval,pass,0,,7.000,3.000,92.331,36.541,1.500,54.812,1.000,0.000,3.000,3.431,60.929,81.755,71.429,,60.670,85.417,91.940,93.399,163
HumanEval_5,humaneval,pass,0,,8.000,3.000,100.000,2.000,0.500,1.000,2.000,0.000,1.000,2.955,37.713,57.851,65.000,,37.988,74.000,91.242,94.777,128
HumanEval_6,humaneval,fail,1,magic_number,11.000,4.000,65.848,36.000,2.400,86.400,4.000,0.000,1.000,2.142,28.785,47.513,39.437,,18.421,69.643,84.884,92.162,85
HumanEval_7,humaneval,pass,0,,3.000,3.000,87.852,4.755,0.500,2.377,0.000,0.000,0.000,2.968,38.827,74.601,70.000,,72.057,100.000,97.007,97.841,105
HumanEval_8,humaneval,pass,0,,9.000,3.000,71.325,11.610,1.000,11.610,2.000,0.000,1.000,1.979,7.978,31.456,30.435,,28.983,70.270,84.475,92.183,75
HumanEval_9,humaneval,pass,1,dead_code,10.000,3.000,100.000,2.000,0.500,1.000,2.000,0.000,2.000,2.629,14.241,36.947,41.935,,21.293,75.248,82.978,92.194,158
HumanEval_10,humaneval,fail,0,,13.000,5.000,83.709,68.114,2.750,187.314,4.000,23.077,2.000,2.915,100.000,100.000,100.000,,100.000,100.000,100.000,100.000,254
HumanEval_11,humaneval,pass,1,dead_code,6.000,5.000,96.060,4.755,0.500,2.377,0.000,50.000,4.000,2.796,12.516,28.352,19.355,,23.947,41.071,82.431,82.216,168
HumanEval_12,humaneval,pass,0,,11.000,4.000,69.289,11.610,1.000,11.610,4.000,0.000,1.000,1.756,22.582,51.901,46.154,,38.347,66.667,88.455,93.143,78
HumanEval_13,humaneval,pass,0,,6.000,2.000,98.928,13.932,1.333,18.575,1.000,0.000,0.000,2.012,75.086,85.955,94.737,,81.460,94.118,96.936,97.303,101
HumanEval_14,humaneval,pass,0,,3.000,2.000,99.651,4.755,0.500,2.377,0.000,0.000,2.000,2.882,35.178,45.786,56.000,,12.928,49.180,88.921,89.665,79
HumanEval_15,humaneval,pass,0,,2.000,1.000,72.068,4.755,0.500,2.377,0.000,0.000,3.000,2.879,45.535,57.177,70.588,,38.192,90.476,90.489,93.073,81
HumanEval_16,humaneval,pass,0,,4.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,3.640,100.000,100.000,100.000,,65.811,100.000,100.000,100.000,84
HumanEval_17,humaneval,pass,1,magic_number,3.000,4.000,61.275,12.000,0.667,8.000,3.000,0.000,1.000,4.990,17.881,41.275,48.649,,11.048,46.429,85.796,88.827,201
HumanEval_18,humaneval,pass,0,,10.000,3.000,85.169,30.881,2.625,81.062,3.000,10.000,1.000,2.427,9.023,25.780,27.907,,16.375,56.000,81.112,89.568,83
HumanEval_19,humaneval,pass,1,dead_code,9.000,1.000,100.000,0.000,0.000,0.000,0.000,44.444,3.000,2.606,66.715,73.127,66.667,,67.741,77.876,92.221,95.533,249
HumanEval_20,humaneval,pass,1,magic_number,13.000,4.000,89.492,79.954,1.909,152.640,4.000,23.077,5.000,2.015,11.890,35.073,23.077,,12.986,50.820,75.683,88.046,336
HumanEval_21,humaneval,pass,0,,5.000,2.000,98.578,25.266,1.200,30.319,0.000,0.000,2.000,2.566,66.159,60.314,75.000,,69.436,100.000,96.269,98.390,159
HumanEval_22,humaneval,pass,0,,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,3.365,45.788,68.385,70.000,,57.311,100.000,97.052,96.863,105
HumanEval_23,humaneval,pass,0,,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,2.629,100.000,100.000,100.000,,65.811,100.000,100.000,100.000,47
